Common Name,Scientific Name,Element Code,Species Group (Broad),Species Group (Fine),NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Distribution,View on NatureServe Explorer
Kiwikiu,Pseudonestor xanthophrys,ABPBY15010,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105354/Pseudonestor_xanthophrys
'O'u,Psittirostra psittacea,ABPBY11010,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101290/Psittirostra_psittacea
Bermuda Petrel,Pterodroma cahow,ABNDB03020,Vertebrates,Birds,G1,G1,Endangered,,,Canada,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101145/Pterodroma_cahow
Fea's Petrel,Pterodroma feae,ABNDB03150,Vertebrates,Birds,G1G2,G1,,,,United States: NC (SNA),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102745/Pterodroma_feae
Black-capped Petrel,Pterodroma hasitata,ABNDB03010,Vertebrates,Birds,G1,G1,Proposed threatened,,,"United States: AL (SNA), FL (SNA), GA (SNRN), NC (S1N), SC (S1N)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102546/Pterodroma_hasitata
Laysan Finch,Telespiza cantans,ABPBY10010,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103535/Telespiza_cantans
Nihoa Finch,Telespiza ultima,ABPBY10020,Vertebrates,Birds,G1,G1,Endangered,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102677/Telespiza_ultima
Guadalupe Fur Seal,Arctocephalus townsendi,AMAJC02010,Vertebrates,Mammals,G1,G1,Threatened,,,"Canada, United States: CA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100800/Arctocephalus_townsendi
Sherman's Short-tailed Shrew,Blarina shermani,AMABA03021,Vertebrates,Mammals,G1,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100006/Blarina_shermani
Red Wolf,Canis rufus,AMAJA01020,Vertebrates,Mammals,G1Q,G1,"Endangered; Experimental population, non-essential",,,"United States: AL (SX), AR (SX), FL (SX), GA (SX), IL (SX), IN (SX), KY (SX), LA (SX), MO (SX), MS (SX), NC (S1), OK (SX), SC (SH), TN (SX), TX (SX), VA (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106386/Canis_rufus
Giant Kangaroo Rat,Dipodomys ingens,AMAFD03080,Vertebrates,Mammals,G1G2,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103814/Dipodomys_ingens
North Atlantic Right Whale,Eubalaena glacialis,AMAGJ02010,Vertebrates,Mammals,G1,G1,Endangered,Endangered,Endangered/En voie de disparition,"Canada: NB (S1), NS (S1), PE (SH), QC (S1), United States: DE (SXB), FL (S1), GA (S1), MA (S1), MD (S1), ME (SNR), NC (SNA), NJ (S1), NY (SNA), RI (SU), SC (S1), TX (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.792042/Eubalaena_glacialis
North Pacific Right Whale,Eubalaena japonica,AMAGJ02020,Vertebrates,Mammals,G1,G1,Endangered,Endangered,Endangered/En voie de disparition,"Canada: BC (S1), United States: AK (S1), CA (SNR), HI (S1), OR (SNA)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.79.732610/Eubalaena_japonica
Florida Bonneted Bat,Eumops floridanus,AMACD02031,Vertebrates,Mammals,G1,G1,Endangered,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104958/Eumops_floridanus
Strecker's Pocket Gopher,Geomys streckeri,AMAFC02090,Vertebrates,Mammals,G1Q,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100810/Geomys_streckeri
Vancouver Island Marmot,Marmota vancouverensis,AMAFB03060,Vertebrates,Mammals,G1,G1,Endangered,Endangered,Endangered/En voie de disparition,Canada: BC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106331/Marmota_vancouverensis
Beach Vole,Microtus breweri,AMAFF11200,Vertebrates,Mammals,G1Q,G1,,,,United States: MA (SU),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102648/Microtus_breweri
Black-footed Ferret,Mustela nigripes,AMAJF02040,Vertebrates,Mammals,G1,G1,"Endangered; Experimental population, non-essential",Extirpated,Extirpated/Disparue du pays,"Canada: AB (SX), SK (SX), United States: AZ (S1), CO (S1), KS (S1), MT (S1), ND (S1), NE (SH), NM (S1), NN (SX), OK (SX), SD (S1), TX (SX), UT (S1), WY (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102031/Mustela_nigripes
Salt-marsh Harvest Mouse,Reithrodontomys raviventris,AMAFF02040,Vertebrates,Mammals,G1G2,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102291/Reithrodontomys_raviventris
Robust Cottontail,Sylvilagus robustus,AMAEB01041,Vertebrates,Mammals,G1G2,G1,,,,"United States: NM (S1), TX (S3)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100820/Sylvilagus_robustus
Southern Idaho Ground Squirrel,Urocitellus endemicus,AMAFB05032,Vertebrates,Mammals,G1,G1,,,,United States: ID (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104618/Urocitellus_endemicus
Temblor Legless Lizard,Anniella alexanderae,ARACC01030,Vertebrates,Reptiles,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.960627/Anniella_alexanderae
Big Spring Legless Lizard,Anniella campi,ARACC01040,Vertebrates,Reptiles,G1G2,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.960633/Anniella_campi
Blunt-nosed Leopard Lizard,Gambelia sila,ARACF07010,Vertebrates,Reptiles,G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101103/Gambelia_sila
Brazos River Watersnake,Nerodia harteri,ARADB22040,Vertebrates,Reptiles,G1,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101160/Nerodia_harteri
Concho Watersnake,Nerodia paucimaculata,ARADB22100,Vertebrates,Reptiles,G1,G1,Delisted,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103615/Nerodia_paucimaculata
Louisiana Pinesnake,Pituophis ruthveni,ARADB26030,Vertebrates,Reptiles,G1G2,G1,Threatened,,,"United States: LA (S2), TX (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102626/Pituophis_ruthveni
Dunes Sagebrush Lizard,Sceloporus arenicolus,ARACF14170,Vertebrates,Reptiles,G1,G1,,,,"United States: NM (S2), TX (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105095/Sceloporus_arenicolus
Rim Rock Crowned Snake,Tantilla oolitica,ARADB35060,Vertebrates,Reptiles,G1G2,G1,,,,United States: FL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105313/Tantilla_oolitica
Coachella Fringe-toed Lizard,Uma inornata,ARACF15010,Vertebrates,Reptiles,G1Q,G1,Threatened,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103488/Uma_inornata
a fringe-toed lizard,Uma thurmanae,ARACF15060,Vertebrates,Reptiles,G1,G1,,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1163685/Uma_thurmanae
Arizona Night Lizard,Xantusia arizonae,ARACK01050,Vertebrates,Reptiles,G1G2,G1,,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100054/Xantusia_arizonae
Sandstone Night Lizard,Xantusia gracilis,ARACK01040,Vertebrates,Reptiles,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103674/Xantusia_gracilis
Sierra Night Lizard,Xantusia sierrae,ARACK01032,Vertebrates,Reptiles,G1Q,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102131/Xantusia_sierrae
Kemp's Ridley Sea Turtle,Lepidochelys kempii,ARAAA04010,Vertebrates,Turtles,G1,G1,Endangered,,,"Canada, United States: AL (S1), CT (SNA), DE (SNA), FL (S1), GA (S1), LA (S1B,S3N), MA (S1N), MD (S1N), ME (SNR), MS (S1N,S1B), NC (S1B,SUN), NH (SNR), NJ (S1M), NY (S1N), RI (SNR), SC (S1N), TX (S3), VA (S1N)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100121/Lepidochelys_kempii
Alabama Red-bellied Cooter,Pseudemys alabamensis,ARAAD07010,Vertebrates,Turtles,G1,G1,Endangered,,,"United States: AL (S1), MS (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100294/Pseudemys_alabamensis
Flattened Musk Turtle,Sternotherus depressus,ARAAE02020,Vertebrates,Turtles,G1,G1,Threatened,,,United States: AL (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105823/Sternotherus_depressus
Santa Ana Sucker,Catostomus santaanae,AFCJC02190,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103583/Catostomus_santaanae
Warner Sucker,Catostomus warnerensis,AFCJC02220,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,"United States: NV (S1), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100954/Catostomus_warnerensis
Shortnose Sucker,Chasmistes brevirostris,AFCJC03010,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,"United States: CA (S1), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106479/Chasmistes_brevirostris
Cui-ui,Chasmistes cujus,AFCJC03020,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106051/Chasmistes_cujus
Laurel Dace,Chrosomus saylori,AFCJB31070,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106151/Chrosomus_saylori
Atlantic Whitefish,Coregonus huntsmani,AFCHA01170,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,Endangered,Endangered/En voie de disparition,Canada: NS (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105434/Coregonus_huntsmani
Blackfin Cisco,Coregonus nigripinnis,AFCHA01100,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1Q,G1,,Data Deficient,,"Canada: ON (SU),United States: IL (SX), IN (SX), MI (SX), WI (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101159/Coregonus_nigripinnis
Pygmy Sculpin,Cottus paulus,AFC4E02210,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103831/Cottus_paulus
Diamond Darter,Crystallaria cincotta,AFCQC07010,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,"United States: IN (SH), KY (SX), OH (SX), TN (SX), WV (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.831356/Crystallaria_cincotta
Plateau Shiner,Cyprinella lepida,AFCJB49130,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1G2,G1,,,,United States: TX (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104413/Cyprinella_lepida
Leon Springs Pupfish,Cyprinodon bovinus,AFCNB02010,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103789/Cyprinodon_bovinus
Devil's Hole Pupfish,Cyprinodon diabolis,AFCNB02020,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106259/Cyprinodon_diabolis
Comanche Springs Pupfish,Cyprinodon elegans,AFCNB02030,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103179/Cyprinodon_elegans
Sonoyta Pupfish,Cyprinodon eremus,AFCNB02140,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106003/Cyprinodon_eremus
Desert Pupfish,Cyprinodon macularius,AFCNB02060,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,"United States: AZ (S1), CA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105718/Cyprinodon_macularius
Owens Pupfish,Cyprinodon radiosus,AFCNB02090,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104524/Cyprinodon_radiosus
Salt Creek Pupfish,Cyprinodon salinus,AFCNB02110,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103079/Cyprinodon_salinus
White Sands Pupfish,Cyprinodon tularosa,AFCNB02120,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: NM (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102766/Cyprinodon_tularosa
Lost River Sucker,Deltistes luxatus,AFCJC12010,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,"United States: CA (S1), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102932/Deltistes_luxatus
Devils River Minnow,Dionda diaboli,AFCJB09010,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102364/Dionda_diaboli
Spring Pygmy Sunfish,Elassoma alabamae,AFCQB09040,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106437/Elassoma_alabamae
Pahrump Poolfish,Empetrichthys latos,AFCNB03010,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103289/Empetrichthys_latos
Modoc Brook Lamprey,Entosphenus folletti,AFBAA02110,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1G2,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105595/Entosphenus_folletti
Desert Dace,Eremichthys acros,AFCJB10010,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,United States: NV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102361/Eremichthys_acros
Slender Chub,Erimystax cahni,AFCJB50010,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,"Threatened; Experimental population, non-essential",,,"United States: TN (S1), VA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106109/Erimystax_cahni
Bluemask Darter,Etheostoma akatulo,AFCQC02XD0,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104779/Etheostoma_akatulo
Slackwater Darter,Etheostoma boschungi,AFCQC02080,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,"United States: AL (S1), TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106525/Etheostoma_boschungi
Vermilion Darter,Etheostoma chermocki,AFCQC02A30,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105491/Etheostoma_chermocki
Relict Darter,Etheostoma chienense,AFCQC02B00,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered; Proposed threatened,,,United States: KY (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105789/Etheostoma_chienense
Blue River Orangebelly Darter,Etheostoma cyanorum,AFCQC02H10,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: OK (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1156839/Etheostoma_cyanorum
Etowah Darter,Etheostoma etowahae,AFCQC02A70,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: GA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103687/Etheostoma_etowahae
Fountain Darter,Etheostoma fonticola,AFCQC02260,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105040/Etheostoma_fonticola
Barrens Darter,Etheostoma forbesi,AFCQC02B30,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1G2,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102365/Etheostoma_forbesi
Tuxedo Darter,Etheostoma lemniscatum,AFCQC02F20,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,"United States: KY (S1), TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.831401/Etheostoma_lemniscatum
Marbled Darter,Etheostoma marmorpinnum,AFCQC02F10,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.831368/Etheostoma_marmorpinnum
Yellowcheek Darter,Etheostoma moorei,AFCQC02460,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: AR (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105669/Etheostoma_moorei
Buck Darter,Etheostoma nebra,AFCQC02G40,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: KY (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.954087/Etheostoma_nebra
Watercress Darter,Etheostoma nuchale,AFCQC02500,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100151/Etheostoma_nuchale
Duskytail Darter,Etheostoma percnurum,AFCQC02F50,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.832896/Etheostoma_percnurum
Waccamaw Darter,Etheostoma perlongum,AFCQC02580,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1Q,G1,,,,United States: NC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101298/Etheostoma_perlongum
Rush Darter,Etheostoma phytophilum,AFCQC02D50,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105223/Etheostoma_phytophilum
Egg-mimic Darter,Etheostoma pseudovulatum,AFCQC02A60,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104843/Etheostoma_pseudovulatum
Bayou Darter,Etheostoma rubrum,AFCQC02630,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,United States: MS (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103143/Etheostoma_rubrum
Citico Darter,Etheostoma sitikuense,AFCQC02F30,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.831370/Etheostoma_sitikuense
Striated Darter,Etheostoma striatulum,AFCQC02750,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105581/Etheostoma_striatulum
Cumberland Darter,Etheostoma susanae,AFCQC02D40,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1G2,G1,Endangered,,,"United States: KY (S1), TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102786/Etheostoma_susanae
Trispot Darter,Etheostoma trisella,AFCQC02810,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,"United States: AL (S1), GA (S1), TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105359/Etheostoma_trisella
Boulder Darter,Etheostoma wapiti,AFCQC02A20,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,"Endangered; Experimental population, non-essential",,,"United States: AL (S1), TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101522/Etheostoma_wapiti
Barrens Topminnow,Fundulus julisia,AFCNB04240,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104388/Fundulus_julisia
Waccamaw Killifish,Fundulus waccamensis,AFCNB04200,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: NC (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101366/Fundulus_waccamensis
Big Bend Gambusia,Gambusia gaigei,AFCNC02030,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105244/Gambusia_gaigei
Clear Creek Gambusia,Gambusia heterochir,AFCNC02060,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102551/Gambusia_heterochir
Spotfin Gambusia,Gambusia krumholzi,AFCNC02130,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.963513/Gambusia_krumholzi
Humpback Chub,Gila cypha,AFCJB13080,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,"United States: AZ (S1), CO (S1), NN (S1), NV (SX), UT (S2), WY (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102735/Gila_cypha
Bonytail,Gila elegans,AFCJB13100,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,"United States: AZ (S1), CA (SH), CO (SX), NM (SX), NN (SX), NV (S1), UT (S1), WY (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105598/Gila_elegans
Chihuahua Chub,Gila nigrescens,AFCJB13110,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1G2,G1,Threatened,,,United States: NM (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100986/Gila_nigrescens
Yaqui Chub,Gila purpurea,AFCJB13140,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101820/Gila_purpurea
Virgin River Chub,Gila seminuda,AFCJB13170,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Endangered,,,"United States: AZ (S1), NV (S1), UT (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102842/Gila_seminuda
Northern Roach,Hesperoleucus mitrulus,AFCJB19027,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,,,,"United States: CA (S2), OR (S2)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101067/Hesperoleucus_mitrulus
Gualala Roach,Hesperoleucus parvipinnis,AFCJB19025,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1G2,G1,,,,United States: CA (S3),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105211/Hesperoleucus_parvipinnis
Rio Grande Silvery Minnow,Hybognathus amarus,AFCJB16070,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,"Endangered; Experimental population, non-essential",,,"United States: NM (S1), TX (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101946/Hybognathus_amarus
Delta Smelt,Hypomesus transpacificus,AFCHB01040,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1,G1,Threatened,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103172/Hypomesus_transpacificus
Kern Brook Lamprey,Lampetra hubbsi,AFBAA02040,Vertebrates,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",G1G2,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105821/Lampetra_hubbsi
